模型,应跑任务数,已有结果数,缺结果数,缺失任务名称
Qwen/Qwen2.5-Coder-0.5B-Instruct,12,12,0,
Qwen/Qwen2.5-Coder-1.5B-Instruct,12,12,0,
Qwen/Qwen2.5-Coder-14B-Instruct,9,9,0,
Qwen/Qwen2.5-Coder-32B-Instruct,9,9,0,
Qwen/Qwen2.5-Coder-3B-Instruct,12,12,0,
Qwen/Qwen2.5-Coder-7B-Instruct,9,9,0,
Salesforce/codet5-base,3,3,0,
WizardLM/WizardCoder-Python-7B-V1.0,9,9,0,
bigcode/starcoder2-15b,9,9,0,
bigcode/starcoder2-3b,12,12,0,
bigcode/starcoder2-7b,9,9,0,
codellama/CodeLlama-13b-hf,9,9,0,
codellama/CodeLlama-34b-hf,9,9,0,
codellama/CodeLlama-7b-hf,9,9,0,
deepseek-ai/deepseek-coder-1.3b-base,12,12,0,
deepseek-ai/deepseek-coder-33b-base,9,9,0,
deepseek-ai/deepseek-coder-6.7b-base,9,9,0,
google/codegemma-2b,12,12,0,
google/codegemma-7b,9,9,0,
ibm-granite/granite-20b-code-base,9,9,0,
ibm-granite/granite-3b-code-base,12,12,0,
ibm-granite/granite-8b-code-base,9,9,0,
microsoft/codebert-base,5,5,0,
microsoft/graphcodebert-base,5,5,0,
microsoft/unixcoder-base,3,3,0,
总计,226,226,0,
