file,rows,sha256,source,supplementary_table,title
supplementary/tables/Table_S1.csv,226,fb63aabe680424d02ad6b324864c416bdf973dd43ff90b1f0ab7f840c0d2dae3,replication/results/paper_experiment_matrix_closure.csv,Table S1,Formal experiment matrix and completion status
supplementary/tables/Table_S2.csv,32,cfccf556b8122efea53918ca92ad1f3b2e094dd3a1e9a65f879bda9d6734fffb,replication/results/model_summary.csv,Table S2,Model inventory and experiment coverage by model family
supplementary/tables/Table_S3.csv,226,d886242bd7bee06c10fa524087edd5864cdeaff2663e6c927b1e5320ce11ce2b,replication/results/paper_experiment_metrics_all.csv,Table S3,Complete model-task-method metric matrix
supplementary/tables/Table_S4.csv,94,6b4719f6e5feaa0e13151977f191f605b6014bdcecbfa14b31217571b0e94711,replication/results/has_vul_metrics.csv,Table S4,Vulnerability existence detection results
supplementary/tables/Table_S5.csv,97,1457be9214be7c89bf1224e795103c0368023fbf829466e43f0a0ab16c84811d,replication/results/vul_type_metrics.csv,Table S5,Vulnerability type classification results
supplementary/tables/Table_S6.csv,99,db89a47193154bec635dd09950c972db58d0dda66493317157703c67c62446c2,replication/results/vul_line_metrics.csv,Table S6,Vulnerable line localization results
supplementary/tables/Table_S7.csv,16,dad052f5d528131a535d5abe1dc2dbc1d1f276efc8df9f2cc386a988e8a4b81d,replication/results/paper_experiment_metrics_all.csv,Table S7,Traditional pretrained-code baselines
supplementary/tables/Table_S8.csv,63,50d554c74856b94d64a4a42ade195b585fea63cf8e49414e83e2bd9ca96128ba,replication/results/paper_experiment_metrics_all.csv,Table S8,Qwen2.5-Coder parameter-scale analysis
supplementary/tables/Table_S9.csv,24,82f2c2f9d5abe4023357179ac5ec69f27054b8dae669a12886f9eff590a3960d,replication/results/prompt_ablation.csv,Table S9,Prompt ablation results for Qwen2.5-Coder-7B and 32B
supplementary/tables/Table_S10.csv,6,d73055e3ec4a5be55e790b4cb44677d439ee5641b91b496961f68e08fe53f974,replication/results/data_completion_pairs.csv,Table S10,Data-completion before/after paired results
supplementary/tables/Table_S11.csv,168,cabb5033073ce2fb006860844e0aee961e366e8c6e0e905b8b379f5c9c7f7198,replication/results/paper_experiment_metrics_all.csv,Table S11,Complete method-pair comparison records
supplementary/tables/Table_S12.csv,321,20b3e8b1d987e106bdab4515c0455587544475e71e0e68065740d0f225bc6116,replication/results/all_result_metrics.csv,Table S12,Runtime and performance trade-off records
supplementary/tables/Table_S13.csv,387,c8f873e83bda08938fde0e702a18b4d7702c2f0d06a22eb8b9a3df1ddc0a6e1f,replication/prediction_summaries/prediction_artifact_index.csv; replication/results/prompt_ablation.csv,Table S13,Prediction artifact and parsing-error audit
supplementary/tables/Table_S14.csv,23,328b12dc546bc4f9e499fef9cdadbad7be8d607a931fc3bccca7b39acb65d487,replication/figures/; replication/figure_source/,Table S14,Figure source data and generated figure inventory
